,id,parentId
11518,tendon of left anconeus,tendon of anconeus
11519,mental branch of right mental nerve,mental branch of mental nerve
11520,inspiration expiration maneuver,breathing maneuver
11521,axillary nerve component of superior trunk segment of left fifth cervical nerve,axillary nerve component of superior trunk segment of fifth cervical nerve
11522,Moore view,named imaging view
11523,lymphadenitis,inflammation
11524,posterior cord segment of C7 root of left thoracodorsal nerve,posterior cord segment of C7 root of thoracodorsal nerve
11525,eighth thoracic ganglion,thoracic ganglion
11526,gray matter of straight gyrus,gray matter of gyrus of frontal lobe
11527,nerve to inferior rectus,branch of inferior branch of oculomotor nerve
11528,postcentral branch of spinal branch of first lumbar artery,postcentral branch of spinal branch of lumbar artery
11529,lateral mammary branch of left lateral thoracic artery,lateral mammary branch of lateral thoracic artery
11530,c5 segment of dorsal funiculus of spinal cord,cervical subsegment of dorsal funiculus of spinal cord
11531,set of superior anal nerves,set of nerves
11532,Haas disease,osteonecrosis
11533,neuroglial network of white matter of T12 segment,neuroglial network of white matter of thoracic subsegment of spinal cord
11534,anterior ramus of third cervical nerve,anterior ramus of cervical nerve
11535,set of inferior dental nerves,set of nerves
11536,intrapericardial,anatomically-related descriptor
11537,pelvis,subdivision of abdomen
11538,spinal vessel,anatomically-specified blood vessel
11539,belly of internal oblique,muscle belly
11540,c4 branch to right longus colli,c4 branch to longus colli
11541,nerve to left vertical muscle fo tongue,nerve to vertical muscle of tongue
11542,hyperthyroidism,disorder of endocrine system
11543,brodmann area 9 of right inferior frontal gyrus,brodmann area 9 of inferior frontal gyrus
11544,microlith,calculus
11545,medial subtendinous bursa of gastrocnemius,subtendinous bursa
11546,tendon of left flexor carpi radialis,tendon of flexor carpi radialis
11547,dilated transverse colon sign,imaging sign
11548,nerve to lumbar rotator,nerve to rotator muscle
11549,inferior nasal retinal artery,branch of inferior central retinal artery
11550,stylohyoid ligament,skeletal ligament
11551,gonion,point of skull
11552,brodmann area 19 of left parahippocampal gyrus,brodmann area 19 of parahippocampal gyrus
11553,dura mater of anterior root of seventh thoracic nerve,dura mater of anterior root of thoracic nerve
11554,median nerve component of inferior trunk segment of eighth cervical nerve,segment of C8 root of median nerve
11555,infrapatellar pad region of apical part of patella,posterior zone of apex of patella
11556,additional area same body region,property related to additional imaging
11557,set of celiac lymphatic vessels,set of abdominal lymphatic vessels
11558,peripheral segment of right third cervical spinal nerve,peripheral segment of third cervical spinal nerve
11559,trunk of cutaneous branch of left inferior rectal nerve,trunk of cutaneous branch of inferior rectal nerve
11560,dorsal ligament of left second carpometacarpal joint,dorsal ligament of second carpometacarpal joint
11561,left inferior transverse scapular ligament,inferior transverse scapular ligament
11562,angiofibroma,blood vessel neoplasm
11563,trunk of esophageal branch of recurrent laryngeal nerve,trunk of branch of recurrent laryngeal nerve
11564,posterior root of left second sacral nerve,posterior root of second sacral nerve
11565,gray matter of left posterior orbital gyrus,gray matter of posterior orbital gyrus
11566,brodmann area 8 of left middle frontal gyrus,brodmann area 8 of middle frontal gyrus
11567,medial compartment of knee,compartment of free lower limb
11568,inferior subtendinous bursa of right biceps femoris,inferior subtendinous bursa of biceps femoris
11569,rhinal sulcus,subarachnoid sulcus
11570,air trapping,obstruction
11571,brodmann area 18 of inferior temporal gyrus,segment of Brodmann area 18
11572,tendon of lateral head of left triceps brachii,tendon of lateral head of triceps brachii
11573,left brachial nerve plexus,brachial plexus
11574,intermediate belly of extensor digitorum brevis,belly of extensor digitorum brevis
11575,superior posterior pancreaticoduodenal lymph node group,visceral lymph node group of abdomen proper
11576,internal pyramidal layer of right Brodmann area 45,internal pyramidal layer of Brodmann area 45
11577,dura mater of anterior root of right third thoracic nerve,dura mater of anterior root of third thoracic nerve
11578,right posterior interosseous vein,posterior interosseous vein
11579,neural network of left parietal part of head,neural network of parietal part of head
11580,dorsal column of gray matter,column of gray matter
11581,through ilial conduit,anatomically-related descriptor
11582,quadrate lobe branch of left portal vein,subdivision of left hepatic portal vein
11583,medial branch of posterior ramus of eighth cervical nerve,branch of posterior ramus of eighth cervical nerve
11584,left hemiscrotum,subdivision of scrotum
11585,nonevaluable,quality descriptor
11586,lung parenchyma,parenchyma
11587,ventriculoatrial shunt,cerebrospinal fluid shunt
11588,lateral ligament of carpometacarpal joint of right thumb,lateral ligament of carpometacarpal joint of thumb
11589,femoral triangle part of surface of psoas major,region of surface of psoas major
11590,branch of left ilioinguinal nerve to left transversus abdominis,branch of ilioinguinal nerve to transversus abdominis
11591,anterior forceps of left half of corpus callosum,segment of corpus callosum
11592,trunk of zygomatic branch of facial nerve,trunk of branch of facial nerve
11593,subdivision of colic lymphatic chain,abdominal lymphatic chain
11594,hot air balloon sign,imaging sign
11595,musculocutaneous nerve nucleus of dorsal column,musculocutaneous nerve nucleus of spinal cord
11596,pleura,viscous serous membrane
11597,folds,anatomic sub-part
11598,clinical success,interventional outcome
11599,median nerve component of trunk of anterior division of anterior ramus of right first thoracic nerve,median nerve component of trunk of anterior division of anterior ramus of first thoracic nerve
11600,ventral external arcuate tract,tract of brain
11601,area of insertion of left pectoralis major,area of insertion of pectoralis major
11602,connective tissue of region of visceral peritoneum,connective tissue of serous membrane
11603,muscle body of right flexor pollicis brevis,muscle body of flexor pollicis brevis
11604,pleural branch of seventh intercostal nerve,pleural branch of intercostal nerve
11605,apical segmental artery,segmental pulmonary artery
11606,posterolateral central branch of left posterior cerebral artery,posterolateral central branch of posterior cerebral artery
11607,extensor digiti minimi tendon,tendon
11608,lateral posterior choroidal artery,branch of posterior choroidal artery
11609,halo,margin
11610,articular cartilage of proximal epiphysis of left humerus,articular cartilage of proximal epiphysis of humerus
11611,lateral cutaneous branch of medial branch of posterior ramus of fifth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of thoracic nerve
11612,anterior part of left middle temporal gyrus,anterior part of middle temporal gyrus
11613,accentuation of pulsatile flow artifact,off-resonance effect
11614,anterior lateral nasal branch of left anterior ethmoidal artery,anterior lateral nasal branch of anterior ethmoidal artery
11615,root of left lateral femoral cutaneous nerve,root of lateral femoral cutaneous nerve
11616,proximal metaphysis of proximal phalanx of right middle finger,proximal metaphysis of proximal phalanx of middle finger
11617,c5 root of right radial nerve,c5 root of radial nerve
11618,medulla of tuber of vermis of cerebellum,segment of cerebellar medulla
11619,Tc-99m fanolesomab,radiopharmaceutical
11620,distal zone of soleus,zone of soleus
11621,uterine orifice of uterine tube,orifice of uterine tube
11622,oral pontine reticular nucleus,nucleus of pontine reticular formation
11623,thoracic subsegment of nucleus proprius of spinal cord,segment of nucleus proprius of spinal cord
11624,stroma of kidney,stroma
11625,lamina of cerebral hemisphere,lamina of neuraxis
11626,posterior radiation of thalamus,radiation of thalamus
11627,brodmann area 8 of right frontal lobe,brodmann area 8 of frontal lobe
11628,thyroid acropachy,bone disorder
11629,impression,report component
11630,left clavicle,clavicle
11631,right utricular nerve,utricular nerve
11632,tendon of right fourth interspinalis cervicis,tendon of fourth interspinalis cervicis
11633,right fourth thoracic ganglion,fourth thoracic ganglion
11634,c8 branch to semispinalis cervicis,muscular branch of medial branch of posterior ramus of eighth cervical nerve
11635,palmar branch of right median nerve,palmar branch of median nerve
11636,medial collateral ligament bursa,synovial bursa of lower limb
11637,brodmann area 7 of inferior parietal lobule,segment of Brodmann area 7
11638,inferior branch of left oculomotor nerve,inferior branch of oculomotor nerve
11639,echo planar k-space trajectory,Cartesian k-space trajectory
11640,width descriptor,Radlex descriptor
11641,branch of left mandibular nerve to left otic ganglion,branch of mandibular nerve to otic ganglion
11642,cavity of abdomen proper,subdivision of abdominal cavity
11643,retro-aortic lymphatic chain,lymphatic chain
11644,lumen of segment of biliary tree,organ cavity subdivision
11645,t6 segment of right gracile fasciculus of spinal cord,t6 segment of gracile fasciculus of spinal cord
11646,set of cervical ganglia,set of ganglia
11647,neuronal component of white matter of cervical subsegment of spinal cord,neuronal component of white matter of subsegment of spinal cord
11648,pyramidal fasciculus,tract of brain
