id,parentId
tumefactive form orbital pseudotumor,orbital pseudotumor
right lateral ligament of prostate,lateral ligament of prostate
trunk of vagal branch to tympanic membrane,trunk of branch of auricular branch of vagus nerve
anterior pontomesencephalic vein,vein of brainstem
communicating branch of left subcostal nerve,communicating branch of subcostal nerve
communicating branch of marginal mandibular branch of left facial nerve with left mental nerve,communicating branch of marginal mandibular branch of facial nerve with mental nerve
left intermediomedial nucleus,intermediomedial nucleus
gray matter of basilar part of pons,gray matter of neuraxis
glenoid labrum,cartilage organ
tributary of superior ophthalmic vein,tributary of cavernous sinus
posterior surface of neck of pancreas,region of surface of pancreas
c2 root of transverse cervical nerve,branch of anterior ramus of second cervical nerve
spinal subsegment of posterior spinocerebellar tract,segment of posterior spinocerebellar tract
neural network of third metacarpal bone,neural network of metacarpal bone
external laryngeal branch to superior cervical sympathetic ganglion,branch of external laryngeal nerve
muscle layer of neck of gallbladder,muscle layer of zone of gallbladder
medial vein of lateral ventricle,tributary of superior thalamostriate vein
hepatic encephalopathy,metabolic disease
middle muscle layer of zone of stomach,middle muscle layer of organ region
greenstick fracture,fracture
left pleural sac,pleural sac
lumen of right minor calyx,lumen of minor calyx
peduncular branch of left posterior cerebral artery,peduncular branch of posterior cerebral artery
left lateral habenular nucleus,lateral habenular nucleus
cavity proper of greater sac,subdivision of cavity of greater sac
faulty instrument or use of instrument artifact,artifact
superior anterior division segment of C6 root of median nerve,segment of C6 root of median nerve
distal region of muscle body of left teres minor,distal region of muscle body of teres minor
central segment of left ninth thoracic spinal nerve,central segment of ninth thoracic spinal nerve
white matter of posterior segment of right paracentral lobule,white matter of posterior segment of paracentral lobule
chalice sign,imaging sign
left subthalamic nucleus,subthalamic nucleus
malignant neoplasm of ureter,malignant neoplasm of genitourinary organ
subdivision of peritoneal cavity,cavity of subdivision of serous sac
anterior resection,colonic resection
serpiginous tract sign,imaging sign
median nerve component of trunk of anterior division of anterior ramus of right sixth cervical nerve,median nerve component of trunk of anterior division of anterior ramus of sixth cervical nerve
central segment of right subclavian nerve,central segment of subclavian nerve
posterior belly of digastric muscle,muscle belly
right tenth thoracic nerve,tenth thoracic nerve
region of ventricular system of brain,region of ventricular system of neuraxis
central segment of sixth thoracic spinal nerve,central segment of thoracic spinal nerve
candy cane sign,imaging sign
trunk of flexor digitorum bevis branch of right medial plantar nerve,trunk of flexor digitorum bevis branch of medial plantar nerve
medial cutaneous branch of medial branch of posterior ramus of left sixth thoracic nerve,medial cutaneous branch of medial branch of posterior ramus of sixth thoracic nerve
nipple of right female breast,nipple of female breast
left trigeminal motor nucleus,motor nucleus of trigeminal nerve
intestinal epithelium,microvillus columnar epithelium
white matter of left middle transverse frontopolar gyrus,white matter of middle transverse frontopolar gyrus
peripheral segment of third lumbar spinal nerve,peripheral segment of lumbar spinal nerve
anterior band of left inferior glenohumeral ligament,anterior band of inferior glenohumeral ligament
skin of dorsal part of left fourth toe,skin of dorsal part of fourth toe
mucosa of cervical part of esophagus,mucosa of segment of esophagus
lateral cutaneous branch of second intercostal nerve,lateral cutaneous branch of intercostal nerve
left first common palmar digital nerve,first common palmar digital nerve
dura mater of posterior root of left third cervical nerve,dura mater of posterior root of third cervical nerve
medial segment of lingual gyrus,segment of lingual gyrus
l3 segment of marginal zone of left dorsal gray column of spinal cord,l3 segment of marginal zone of dorsal gray column of spinal cord
anterior surface of humerus,region of surface of humerus
left triangular septal nucleus,triangular septal nucleus
superior bursa of right biceps femoris,superior bursa of biceps femoris
anterior branch of obturator nerve,branch of obturator nerve
t4 branch to semispinalis thoracis,muscular branch of medial branch of posterior ramus of fourth thoracic nerve
glucagonoma,neuroendocrine neoplasm
branch of anterior branch of axillary nerve,branch of axillary nerve
"middle temporal gyrus, posterior division (T2p)",caviness neocortex parcellation unit
oval window,anatomical orifice
second cervical nerve,cervical nerve
trunk of branch of iliohypogastric nerve,trunk of branch of lumbar nerve plexus
taenia coli of region of large intestine,muscle layer of region of large intestine
cutaneous branch of medial branch of posterior ramus of cervical nerve,cutaneous branch of medial branch of posterior ramus of spinal nerve
trunk of saphenous nerve,trunk of branch of femoral nerve
right lateral superficial chest wall,lateral superficial chest wall
s4 segment of right dorsal gray column of spinal cord,s4 segment of dorsal gray column of spinal cord
proximal tendon of fibularis longus,tendon of fibularis longus
CritNotification,workflow term
choroidal branch of PICA to fourth ventricle,branch of posterior inferior cerebellar artery
belly of second plantar interosseous of foot,belly of plantar interosseous of foot
trunk of labium majus branch of right ilioinguinal nerve,trunk of labium majus branch of ilioinguinal nerve
posterior zone of lateral region of inferior part of body of right scapula,posterior zone of lateral region of inferior part of body of scapula
dorsal septal nucleus,nucleus of brain
RID13019,Obsolete Radlex Term
proximal epiphysis of phalanx of little finger,proximal epiphysis of phalanx of finger
median glosso-epiglottic fold,glossoepiglottic fold
epitympanum,subdivision of tympanic cavity
thoracic subsegment of lateral corticospinal tract,vertebral segment of lateral corticospinal tract
mandibular notch,anatomical line of skull
c3 branch to right longissimus cervicis,c3 branch to longissimus cervicis
proximal tendon of extensor digitorum longus to right fifth toe,proximal tendon of extensor digitorum longus to fifth toe
wall of right ventricle,wall of ventricle
female superficial chest wall,superficial chest wall
subdivision of somatic nervous system,subdivision of nervous system
parallel lesion,Obsolete Radlex Term
ascending branch of meningeal branch of left third cervical nerve,ascending branch of meningeal branch of third cervical nerve
set of juxta-jejunal mesenteric lymphatic vessels,set of abdominal lymphatic vessels
multiple myeloma,myeloproliferative disorder
RID12612,RID12590
degenerated,physiological condition descriptor
nail root of fingernail,subdivision of fingernail
c6 branch to semispinalis capitis,muscular branch of medial branch of posterior ramus of sixth cervical nerve
metaphysis of metacarpal bone,metaphysis
dorsolateral segment of right ventral gray column of spinal cord,dorsolateral segment of ventral gray column of spinal cord
hydrops,fluid disorder
muscle body of left serratus anterior muscle,muscle body of serratus anterior
set of right internal intercostal muscles,set of internal intercostal muscles
segment of ventral gray column of spinal cord,segment of gray matter of spinal cord
right third thoracic nerve,third thoracic nerve
cutaneous branch of medial branch of posterior ramus of right fifth cervical nerve,cutaneous branch of medial branch of posterior ramus of fifth cervical nerve
trunk of right obturator nerve,trunk of obturator nerve
communicating branch of buccal branch of facial nerve with buccal nerve,branch of buccal branch of facial nerve
clavicular part of right pectoralis major,clavicular part of pectoralis major
deep cerebral vein,cerebral vein
t1 branch to left splenius capitis,t1 branch to splenius capitis
taenia mesocolica of transverse colon,taenia coli of transverse colon
vascular anomaly (liver),liver imaging observation
communicating branch of ninth intercostal nerve,communicating branch of intercostal nerve
s2 segment of right dorsal funiculus of spinal cord,s2 segment of dorsal funiculus of spinal cord
lamina propria of esophagus,lamina propria
tumor vascularity,property
glenohumeral branch of suprascapular artery,branch of suprascapular artery
anterior branch of lateral cutaneous branch of ventral branch of left lumbar artery,anterior branch of lateral cutaneous branch of ventral branch of lumbar artery
hindfoot,segment of foot
cortical tributary of superior sagittal sinus,tributary of superior sagittal sinus
muscle layer of fundus of gallbladder,muscle layer of zone of gallbladder
right atrial appendage,atrial appendage
unstable,status descriptor
interpeduncular cistern,perimesencephalic cistern
